Phase,Global Marker Index,annotatorID,s,d,e,epoch_i,rater_i,spindle_i,t
phase1,R96647,182.0,2.25,0.9899999999997817,3.2399999999997817,749,24,0,84
phase1,R96648,182.0,9.05999999999949,0.5300000000006548,9.590000000000146,749,24,1,85
phase1,R96649,182.0,12.680000000000291,0.9699999999993452,13.649999999999636,749,24,2,86
phase1,R96650,182.0,13.799999999999272,0.5100000000002183,14.30999999999949,749,24,3,87
phase1,R96651,182.0,19.409999999999854,1.0599999999994907,20.469999999999345,749,24,4,88
phase1,R96652,182.0,17.590000000000146,0.3899999999994179,17.979999999999563,749,24,5,89
phase1,R96653,182.0,18.639999999999418,0.32999999999992724,18.969999999999345,749,24,6,90
phase1,R96654,182.0,21.899999999999636,0.4400000000005093,22.340000000000146,749,24,7,91
phase1,R97557,471.0,2.25,1.0599999999994907,3.3099999999994907,749,25,0,92
phase1,R97558,471.0,19.409999999999854,0.9200000000000728,20.329999999999927,749,25,1,93
phase1,R101128,380.0,2.2700000000004366,0.9399999999986903,3.209999999999127,749,26,0,94
phase1,R101136,380.0,19.44999999999891,0.9000000000014552,20.350000000000364,749,26,1,95
phase1,R101137,380.0,12.729999999999563,0.9600000000009459,13.69000000000051,749,26,2,96
phase1,R103630,506.0,2.25,1.4400000000005093,3.6900000000005093,749,27,0,97
phase1,R103631,506.0,19.25,1.360000000000582,20.610000000000582,749,27,1,98
